verse_index,verse_id,english,chapter_number,verse_number,turkish,french,german,bahasa,persian,tamil,swedish,russian,bengali,spanish,urdu
755,5:82,A Statement of Fact,5,82,Gerçeğin Bir İfadesi,Un état des lieux,Eine Feststellung des Sachverhalts,Pernyataan Fakta,بیانیه‌ای از حقایق,சத்தியமானதொரு வாக்கு,En redogörelse för fakta,Констатация факта,একটি তথ্য বিবৃতি,Una exposición de los hechos,حقیقت کا بیان
760,5:87,Do Not Prohibit Lawful Things,5,87,Helal Şeyleri Haram Kılmayın,Ne pas interdire les choses licites,Verbieten Sie keine rechtmäßigen Dinge,Jangan Larang Perkara Yang Sah,چیزهای قانونی را ممنوع نکنید,அனுமதிக்கப்பட்ட பொருட்களைத் தடுக்காதீர்கள்,Förbjud inte lagliga saker,Не запрещайте законные вещи,আইনসম্মত বিষয়গুলো নিষিদ্ধ করবেন না,No prohibir cosas lícitas,جائز چیزوں پر پابندی نہ لگائیں
762,5:89,Do Not Take God's Name in Vain,5,89,Tanrı'nın Adını Boş Yere Ağzınıza Almayın,Ne prenez pas le nom de Dieu en vain,Nimm Gottes Namen nicht umsonst an,Jangan menyebut nama Tuhan dengan sia-sia,نام خدا را بیهوده نبر,கடவுளின் பெயரை வீணாகப் பயன்படுத்தாதீர்கள்,Ta inte Guds namn i onödan,Не принимайте Божье имя всуе,ঈশ্বরের নাম বৃথা গ্রহণ করো না,No tomes el nombre de Dios en vano,خدا کا نام بے جا نہ لو
763,5:90,Intoxicants and Gambling Prohibited,5,90,Sarhoş Ediciler ve Kumar Haram Kılındı,Interdiction de consommer des stupéfiants et de jouer à des jeux d'argent,Rauschmittel und Glücksspiel sind verboten,Bahan memabukkan dan perjudian dilarang,ممنوعیت مواد مست‌کننده و قمار,போதையூட்டுபவையும் சூதாட்டமும் தடை செய்யப்படுகின்றது,Förbud mot berusningsmedel och hasardspel,Интоксиканты и азартные игры запрещены,মাদকদ্রব্য ও জুয়া নিষিদ্ধ,Prohibidos los tóxicos y el juego,نشہ آور اشیاء اور جوئے کی ممانعت
767,5:94,Game Conservation,5,94,Av Hayvanını Koruma,Conservation du gibier,Wildschutz,Pemuliharaan Permainan,حفاظت از حیات‌وحش,வேட்டைப் பிராணிகளின் பாதுகாப்பு,Bevarande av vilt,Сохранение дичи,খেলা সংরক্ষণ,Conservación de la caza,حفاظتِ کھیل
769,5:96,All Creatures of the Sea Lawful to Eat,5,96,Tüm Deniz Mahlukları Yemek için Helaldir,Toutes les créatures de la mer dont la consommation est licite,Alle Kreaturen des Meeres dürfen gegessen werden,Semua makhluk laut yang boleh dimakan,تمام موجودات دریایی که خوردن آن‌ها مجاز است,நீர்வாழ் உயிரினங்கள் அனைத்தும் உண்ணுவதற்கு அனுமதிக்கப்பட்டவையே,Alla havsdjur lagliga att äta,Всех морских обитателей можно употреблять в пищу,সমুদ্রের সব প্রাণী যা খাওয়া বৈধ,Todas las criaturas del mar lícitas para el consumo,سمندر کی تمام مخلوقات جو کھانا جائز ہیں۔
4769,51:47,"""Expansion of the Universe Theory"" Confirmed",51,47,"""Evrenin Genişlemesi Teorisi"" Doğrulandı","""La théorie de l'expansion de l'univers confirmée","""Theorie der Expansion des Universums"" bestätigt",Teori Pemerluasan Alam Semesta Disahkan,نظریهٔ گسترش جهان تأیید شد,விரிவடையும் பிரபஞ்சம் எனும் கோட்பாடு உறுதிப்படுத்தப்படுகின்றது,"""Teorin om universums expansion"" bekräftad","""Теория расширения Вселенной"" подтверждена","""ব্ৰহ্মাণ্ড সম্প্রসারণ তত্ত্ব"" নিশ্চিত","""Confirmada la ""Teoría de la Expansión del Universo","""کائنات کی توسیع کے نظریے"" کی تصدیق"
4778,51:56,The Purpose of Our Existence,51,56,Varlığımızın Amacı,Le but de notre existence,Der Zweck unseres Daseins,Tujuan kewujudan kami,هدف وجود ما,நமது வாழ்வின் நோக்கம்,Syftet med vår existens,Цель нашего существования,আমাদের অস্তিত্বের উদ্দেশ্য,El propósito de nuestra existencia,ہماری موجودگی کا مقصد
4812,52:29,The Messenger,52,29,Elçi,Le messager,The Messenger,Penyampai,پیام‌آور,தூதர்,Budbäraren,Вестник,বার্তাবাহক,El Mensajero,پیغامبر
4817,52:34,"""Mohammedans"" Challenge God and Produce Hadith",52,34,"""Muhammediler"" Tanrı'ya Meydan Okuyup Hadis Üretiyorlar","Les ""mahométans"" défient Dieu et produisent des hadiths","""Mohammedaner"" fordern Gott heraus und produzieren Hadithe","""Mohammedans"" mencabar Tuhan dan menghasilkan Hadis",«محمدیان» خدا را به چالش می‌کشند و حدیث تولید می‌کنند,முஹம்மதியர்கள் கடவுளுக்குச் சவால் விட்டு ஹதீஸ்களைக் கொண்டு வருகின்றனர்,"""Muhammedaner"" utmanar Gud och producerar hadither","""Магометане"" бросают вызов Богу и производят хадисы","""মুসলিমরা"" ঈশ্বরকে চ্যালেঞ্জ করে এবং হাদিস রচনা করে","Los ""mahometanos"" desafían a Dios y producen hadices","""محمدی"" خدا کو چیلنج کرتے ہیں اور حدیث پیش کرتے ہیں"
4852,53:19,The Flimsy Idols,53,19,Çürük Putlar,Les idoles fragiles,Die fadenscheinigen Idole,Berhala-berhala Rapuh,بت‌های سست,பலஹீனமான போலித்தெய்வங்கள்,De svaga idolerna,Хрупкие идолы,নড়বড়ে মূর্তিগুলো,Los endebles ídolos,کمزور بت
4862,53:29,Choose Your Friends Carefully,53,29,Dostlarınızı Dikkatle Seçin,Choisissez vos amis avec soin,Wählen Sie Ihre Freunde mit Bedacht,Pilih rakan anda dengan berhati-hati,دوستانتان را با دقت انتخاب کنید,உங்களுடைய நண்பர்களைக் கவனத்துடன் தேர்ந்தெடுங்கள்,Välj dina vänner med omsorg,Тщательно выбирайте друзей,সাবধানে বন্ধু নির্বাচন করুন,Elige bien a tus amigos,اپنے دوست احتیاط سے چنیں
4878,53:45,The Husband Determines The Baby's Gender,53,45,Bebeğin Cinsiyetini Koca Belirliyor,Le mari détermine le sexe du bébé,Der Ehemann bestimmt das Geschlecht des Babys,Suami menentukan jantina bayi,شوهر جنسیت نوزاد را تعیین می‌کند,குழந்தையின் பால்வகையைக் கணவனே தீர்மானிக்கின்றான்,Mannen bestämmer barnets kön,Муж определяет пол ребенка,স্বামী নির্ধারণ করেন শিশুর লিঙ্গ,El marido determina el sexo del bebé,شوہر بچے کا جنس طے کرتا ہے۔
4909,54:13,The Ark,54,13,Gemi,L'Arche,Die Arche,Bahtera,کشتی نوح,மரக்கலம்,Arken,Ковчег,নৌকা,El Arca,کشتی
5058,56:27,The Lower Heaven,56,27,Alt Cennet,Le ciel inférieur,Der untere Himmel,Syurga Bawah,بهشت پایین‌تر,தாழ்வான சொர்க்கம்,Den lägre himlen,Нижние небеса,নিম্ন স্বর্গ,El Bajo Cielo,نچلا جنت
5072,56:41,Hell,56,41,Cehennem,L'enfer,Hölle,Neraka,جهنم,நரகம்,Helvetet,Ад,নরক,Infierno,دوزخ
5088,56:57,Reflections,56,57,Tefekkür,Réflexions,Reflexionen,Renungan,تأملات,சிந்தனைகள்,Reflektioner,Размышления,প্রতিফলন,Reflexiones,تأملات
5106,56:75,Only the Sincere Can Understand the Quran,56,75,Kuran'ı Sadece Samimi Olanlar Anlayabilir,Seules les personnes sincères peuvent comprendre le Coran,Nur der Aufrichtige kann den Koran verstehen,Hanya yang ikhlas dapat memahami al-Quran,تنها صادقان می‌توانند قرآن را درک کنند,உண்மையானவர்கள் மட்டுமே குர்ஆனைப் புரிந்து கொள்ள இயலும்,Endast den uppriktige kan förstå Koranen,Только искренние могут понять Коран,কেবলমাত্র আন্তরিকরাই কোরআন বুঝতে পারে।,Sólo los sinceros pueden entender el Corán,صرف مخلص ہی قرآن کو سمجھ سکتے ہیں
5138,57:10,Special Honor,57,10,Özel Onur,Honneur spécial,Besondere Ehre,Penghormatan Istimewa,افتخار ویژه,Special Honor,Särskild ära,Особая честь,বিশেষ সম্মান,Honor especial,خصوصی اعزاز
5140,57:12,The Great Triumph,57,12,Büyük Zafer,Le grand triomphe,Der große Triumph,Kejayaan Agung,پیروزی بزرگ,மகத்தான பெருவெற்றி,Den stora triumfen,Великий триумф,মহান বিজয়,El gran triunfo,عظیم فتح
5141,57:13,The Worst Losers,57,13,En Kötü Kaybedenler,Les pires perdants,Die schlimmsten Verlierer,Penyangak Terburuk,بدترین بازنده‌ها,மிகவும் மோசமான நஷ்டவாளிகள்,De värsta förlorarna,Худшие неудачники,সবচেয়ে খারাপ পরাজিতরা,Los peores perdedores,بدترین ہارنے والے
5144,57:16,Deterioration of Religion,57,16,Dinin Bozulması,Détérioration de la religion,Die Verschlechterung der Religion,Kemerosotan Agama,فرسایش دین,மார்க்கத்தின் சீரழிவு,Försämring av religionen,Ухудшение религии,ধর্মের অবনতি,Deterioro de la religión,مذہب کا زوال
5148,57:20,Preoccupation With This Life Condemned,57,20,Zihnin Sürekli Bu Hayatla Meşgul Olması Kınandı,Préoccupation de cette vie condamnée,Beschäftigung mit dem verdammten Leben,Keterlaluan memikirkan kehidupan duniawi dikecam,محکومیت سرگرم شدن به زندگی دنیا,இந்த வாழ்வில் மூழ்கி விடுதல் கண்டனம் செய்யப்படுகின்றது,Upptagenhet med detta liv Fördömd,Озабоченность этой жизнью осуждена,এই জীবনের প্রতি অতিরিক্ত আসক্তি নিন্দিত,Preocupación por esta vida condenada,اس زندگی میں مشغول رہنا مذمت شدنی ہے۔
5149,57:21,The Intelligent Alternative,57,21,Akıllı Seçenek,L'alternative intelligente,Die intelligente Alternative,Alternatif Pintar,گزینه هوشمندانه,புத்திசாலித்தனமான மாற்று ஏற்பாடு,Det intelligenta alternativet,Интеллектуальная альтернатива,বুদ্ধিমান বিকল্প,La alternativa inteligente,عقلمندانہ متبادل
5150,57:22,Profound Fact*,57,22,Derin Gerçek,Un fait profond*,Profunde Tatsache*,Fakta Mendalam*,واقعیت ژرف*,தீர்க்கமான உண்மை*,Djupt faktum*,Глубокий факт*,গভীর সত্য*,Hechos profundos,گہرا حقیقت*
5153,57:25,Iron: The Most Useful Metal,57,25,Demir: En Yararlı Metal,Le fer : le métal le plus utile,Eisen: Das nützlichste Metall,Besi: Logam Paling Berguna,آهن: مفیدترین فلز,இரும்பு: மிகப் பயன்நிறைந்த உலோகம்,Järn: Den mest användbara metallen,Железо: самый полезный металл,লোহা: সবচেয়ে উপকারী ধাতু,Hierro: el metal más útil,لوہا: سب سے زیادہ مفید دھات
5154,57:26,The Prophets,57,26,Peygamberler,Les prophètes,Die Propheten,Para Nabi,پیامبران,நபிமார்கள்,Profeterna,Пророки,নবীরা,Los Profetas,پیغمبر
5155,57:27,Deterioration of Religion,57,27,Dinin Bozulması,Détérioration de la religion,Die Verschlechterung der Religion,Kemerosotan Agama,فرسایش دین,மார்க்கத்தின் சீரழிவு,Försämring av religionen,Ухудшение религии,ধর্মের অবনতি,Deterioro de la religión,مذہب کا زوال
5172,58:14,Choose Your Friends,58,14,Dostlarınızı Seçin,Choisissez vos amis,Wählen Sie Ihre Freunde,Pilih rakan anda,دوستانتان را انتخاب کنید,உங்களுடைய நண்பர்களைத் தேர்ந்தெடுங்கள்,Välj dina vänner,Выбирайте друзей,তোমার বন্ধুদের বেছে নাও,Elige a tus amigos,اپنے دوستوں کا انتخاب کریں
5180,58:22,Run For Your Life,58,22,Canını Seven Kaçsın,Courir pour sauver sa vie,Lauf um dein Leben,Lari Untuk Nyawamu,برو جانت را نجات بده,உங்களைக் காப்பாற்றிக் கொள்ள விரைந்திடுங்கள்,Spring för ditt liv,"Беги, чтобы жить",তোমার জীবনের জন্য দৌড়ো,Corre por tu vida,اپنی جان کے لیے دوڑو
5165,58:7,God is With You Now,58,7,Tanrı Şuanda Sizinle,Dieu est avec vous maintenant,Gott ist jetzt bei Ihnen,Tuhan Bersamamu Sekarang,خداوند اکنون با شماست,கடவுள் இப்பொழுது உங்களுடன் இருக்கின்றார்,Gud är med dig nu,Бог сейчас с тобой,ঈশ্বর এখন তোমার সাথে আছেন,Dios está contigo ahora,خدا اب آپ کے ساتھ ہے
5166,58:8,Do Not Conspire,58,8,Komplo Kurmayın,Ne pas conspirer,Nicht konspirieren,Jangan Berkonspirasi,توطئه نکنید,சூழ்ச்சி செய்யாதீர்கள்,Konspirera inte,Не вступать в сговор,ষড়যন্ত্র করবেন না,No conspire,سازش نہ کرو
5183,59:2,God Defends the Believers,59,2,Tanrı İmanlıları Müdafaa Eder,Dieu défend les croyants,Gott verteidigt die Gläubigen,Tuhan membela orang-orang yang beriman,خداوند از مؤمنان دفاع می‌کند,நம்பிக்கையாளர்களைக் கடவுள் காக்கின்றார்,Gud försvarar de troende,Бог защищает верующих,ঈশ্বর বিশ্বাসীদের রক্ষা করেন,Dios defiende a los creyentes,خدا مومنوں کا دفاع کرتا ہے
5202,59:21,Greatness of the Quran,59,21,Kuran'ın Büyüklüğü,La grandeur du Coran,Die Größe des Korans,Keagungan Al-Quran,عظمت قرآن,குர்ஆனின் மகத்துவம்,Koranens storhet,Величие Корана,কুরআনের মহিমা,La grandeza del Corán,قرآن کی عظمت
5203,59:22,God,59,22,Tanrı,Dieu,Gott,Tuhan,خدا,கடவுள்,Gud,Бог,ঈশ্বর,Dios,خدا
5188,59:7,The Spoils of War,59,7,Savaş Ganimetleri,Le butin de guerre,Die Ausbeute des Krieges,Harta Rampasan Perang,غنائم جنگ,போரின் மீதப் பொருட்கள்,Krigsbyten,Военные трофеи,যুদ্ধের লুটপাট,El botín de guerra,جنگی مال غنیمت
896,6:102,God,6,102,Tanrı,Dieu,Gott,Tuhan,خدا,கடவுள்,Gud,Бог,ঈশ্বর,Dios,خدا
905,6:111,A Consequence of Their Own Decision,6,111,Kendi Kararlarının Bir Sonucu,Une conséquence de leur propre décision,Eine Konsequenz aus ihrer eigenen Entscheidung,Konsekuensi Keputusan Mereka Sendiri,پیامد تصمیم خودشان,அவர்களுடைய சொந்தத் தீர்மானத்தின் ஒரு பின்விளைவு,En konsekvens av deras eget beslut,Последствия их собственного решения,তাদের নিজস্ব সিদ্ধান্তের পরিণতি,Consecuencia de su propia decisión,اپنے فیصلے کا نتیجہ
906,6:112,Hadith & Sunna: Fabrications by the Prophet's Enemies,6,112,Hadis & Sünnet: Peygamber Düşmanlarının Uydurmaları,Hadiths et Sunna : les fabrications des ennemis du Prophète,Hadith & Sunna: Erfindungen der Feinde des Propheten,Hadis & Sunnah: Palsu oleh Musuh-Musuh Nabi,حدیث و سنت: جعل‌های دشمنان پیامبر,ஹதீஸ் & சுன்னா: நபியுடைய விரோதிகளின் புனைந்துரைகள்,Hadith & Sunna: Påhitt av profetens fiender,Хадисы и сунна: измышления врагов Пророка,হাদিস ও সুন্না: নবীর শত্রুদের উদ্ভাবিত জালিয়াতি,Hadiz y Sunna: Fabricaciones de los enemigos del Profeta,حدیث و سنت: نبی کے دشمنوں کی من گھڑتیں
907,6:113,Important Criterion,6,113,Önemli Kriter,Critère important,Wichtiges Kriterium,Kriteria Penting,معیار مهم,முக்கியமான அளவுகோல்,Viktigt kriterium,Важный критерий,গুরুত্বপূর্ণ মানদণ্ড,Criterio importante,اہم معیار
908,6:114,Quran: Fully Detailed*,6,114,Kuran: Tamamen Detaylı,Coran : Entièrement détaillé*,Koran: Ausführlich*,Al-Quran: Terperinci sepenuhnya*,قرآن: کاملاً تفصیلی*,குர்ஆன்: முற்றிலும் விவரிக்கப்பட்டது*,Koranen: Fullständigt detaljerad*,Коран: Полностью подробный*,কুরআন: সম্পূর্ণ বিশদ*,Corán: Totalmente detallado*.,قرآن: مکمل تفصیل*
913,6:119,Chance to Remember God: Mention God's Name Before You Eat,6,119,Tanrı'yı Hatırlama Şansı: Yemeden Önce Tanrı'nın Adını Zikredin,L'occasion de se souvenir de Dieu : Mentionnez le nom de Dieu avant de manger,"Gelegenheit, sich an Gott zu erinnern: Erwähne Gottes Namen bevor du isst",Peluang untuk mengingati Tuhan: Sebutkan nama Tuhan sebelum anda makan,فرصتی برای یاد خدا: پیش از غذا خوردن نام خدا را ببرید,கடவுளை நினைவு கூர்வதற்குரிய சந்தர்ப்பம்:நீங்கள் உண்ணுவதற்கு முன் கடவுளின் பெயரை மொழியுங்கள்,Chans att komma ihåg Gud: Nämn Guds namn innan du äter,Шанс вспомнить о Боге: Упоминайте Божье имя перед едой,ঈশ্বরকে স্মরণ করার সুযোগ: খাবার খাওয়ার আগে ঈশ্বরের নাম উল্লেখ করুন,Oportunidad de recordar a Dios: Menciona el nombre de Dios antes de comer,خدا کو یاد کرنے کا موقع: کھانے سے پہلے خدا کا نام لیں۔
918,6:124,Questioning God's Wisdom*,6,124,Tanrı'nın Hikmetini Sorgulamak,Remettre en question la sagesse de Dieu*,Gottes Weisheit in Frage stellen*,Mertanyakan Kebijaksanaan Tuhan*,پرسش از حکمت خدا*,கடவுளின் ஞானத்தைக் கேள்வி கேட்பது*,Ifrågasättande av Guds visdom*,Подвергая сомнению Божью мудрость*,ঈশ্বরের প্রজ্ঞা প্রশ্ন করা*,Cuestionar la sabiduría de Dios*.,خدا کی حکمت پر سوال اٹھانا*
919,6:125,Quranic Knowledge Far Ahead of Human Progress*,6,125,Kurani Bilgi İnsanlığın Katettiği Mesafenin Çok İlerisinde,Le savoir coranique en avance sur le progrès humain*,Koranisches Wissen weit vor dem menschlichen Fortschritt*,Pengetahuan Al-Quran jauh di hadapan kemajuan manusia*,دانش قرآنی بسیار جلوتر از پیشرفت بشر*,குர்ஆனிய அறிவு மானிடர்களின் முன்னேற்றத்தை* விட மிகவும் முந்தியதாகும்.,Koranens kunskap långt före mänsklighetens framsteg*,Знания Корана намного опережают человеческий прогресс*,মানব অগ্রগতির তুলনায় কুরআনিক জ্ঞান অনেক এগিয়ে*,El conocimiento coránico muy por delante del progreso humano*.,قرآنی علم انسانی ترقی سے بہت آگے*
930,6:136,Abusing God's Provisions,6,136,Tanrı'nın Rızıklarını Suistimal Etmek,Abuser des dispositions de Dieu,Gottes Vorsorge missbrauchen,Mencabul Peruntukan Tuhan,سوءاستفاده از مواهب الهی,கடவுளின் வாழ்வாதாரங்களைத் துஷ்பிரயோகம் செய்தல்,Att missbruka Guds försörjning,Злоупотребление Божьими дарами,ঈশ্বরের প্রদত্ত ব্যবস্থাগুলোর অপব্যবহার,Abusar de las provisiones de Dios,خدا کی عطا کردہ نعمتیں ضائع کرنا
932,6:138,Religious Innovations Condemned,6,138,Dini Bidatler Kınandı,Les innovations religieuses condamnées,Religiöse Innovationen verurteilt,Inovasi Agama Ditentang,محکومیت بدعت‌های دینی,மார்க்கத்தில் புதுமைகளைப் புகுத்துதல் கண்டனம் செய்யப்படுகின்றது,Religiösa innovationer fördöms,Религиозные нововведения осуждаются,ধর্মীয় উদ্ভাবনসমূহের নিন্দা,Condena de las innovaciones religiosas,مذہبی بدعات کی مذمت
935,6:141,"Zakat Must Be Given ""On The Day Of Harvest""*",6,141,"Zekât ""Hasat Gününde"" Verilmelidir","La zakat doit être versée ""le jour de la récolte ""*.","Die Zakat muss ""am Tag der Ernte"" gegeben werden*.","Zakat Wajib Diberi ""Pada Hari Panen""*",زکات باید «در روز برداشت»* پرداخت شود.,அறுவடை நாள் அன்றே* ஜகாத் கொடுக்கப்பட்டாக வேண்டும்,"Zakat måste ges ""på skördedagen""*.","Закят должен быть выплачен ""в день сбора урожая ""*.","যাকাত অবশ্যই ""ফসলের দিনে""* দিতে হবে।","El zakat debe entregarse ""el día de la cosecha ""*.","زکوٰۃ لازماً ""فصل کی کٹائی کے دن""* دینی چاہیے۔"
937,6:143,Innovated Dietary Prohibitions Condemned,6,143,İcat Edilen Beslenme Yasakları Kınandı,Des interdictions alimentaires innovantes condamnées,Neuartige Diätverbote verurteilt,Larangan Diet Inovatif Ditolak,محکومیت ممنوعیت‌های غذایی نوآورانه,புதுமையான உணவுத்தடைகள் கண்டனம் செய்யப்படுகின்றன,Förnyade kostförbud fördömdes,Инновационные диетические запреты осуждаются,নতুনভাবে প্রবর্তিত খাদ্য নিষেধাজ্ঞাসমূহ নিন্দিত,Condenadas las prohibiciones dietéticas innovadoras,جدید غذائی پابندیوں کی مذمت
939,6:145,The Only Dietary Prohibitions*,6,145,Beslenme Yasakları Sadece Şunlardır,Les seules interdictions alimentaires*,Die einzigen diätetischen Verbote*,Satu-satunya Larangan Pemakanan*,تنها ممنوعیت‌های غذایی*,உணவுத் தடைகள் இவை மட்டுமே*,De enda kostförbuden*,Единственный диетический запрет*,একইমাত্র খাদ্যগত নিষেধাজ্ঞা*,Las únicas prohibiciones dietéticas*,خوراک کی صرف ممنوعہ اشیاء*
943,6:149,The Most Powerful Argument*,6,149,En Güçlü Argüman,L'argument le plus puissant*,Das stärkste Argument*,Hujah Paling Kuasa*,قدرتمندترین استدلال*,மிகவும் வலிமை வாய்ந்த வாதம்,Det mest kraftfulla argumentet*,Самый мощный аргумент*,সবচেয়ে শক্তিশালী যুক্তি*,El argumento más poderoso,سب سے طاقتور دلیل*
945,6:151,The Major Commandments,6,151,Başlıca Buyruklar,Les grands commandements,Die wichtigsten Gebote,Perintah-perintah Utama,دستورات اصلی,முக்கியக் கட்டளைகள்,De viktigaste budorden,Главные заповеди,প্রধান আদেশসমূহ,Los Mandamientos Mayores,اہم احکام
946,6:152,Additional Commandments,6,152,İlave Buyruklar,Commandements supplémentaires,Zusätzliche Gebote,Perintah Tambahan,دستورات اضافی,கூடுதல் கட்டளைகள்,Ytterligare budord,Дополнительные заповеди,অতিরিক্ত আদেশসমূহ,Mandamientos adicionales,اضافی احکام
951,6:157,Mathematics: The Ultimate Proof*,6,157,Matematik: Nihai Kanıt,Les mathématiques : La preuve ultime*,Mathematik: Der ultimative Beweis*,Matematik: Bukti Mutlak*,ریاضیات: برهان نهایی*,கணித இயல்: மேம்பட்டசான்று*,Matematik: Det ultimata beviset*,Математика: Окончательное доказательство*,গণিত: চূড়ান্ত প্রমাণ*,Matemáticas: La prueba definitiva*,ریاضیات: حتمی ثبوت*
952,6:158,Requirements of the Test,6,158,Testin Gereklilikleri,Exigences du test,Anforderungen des Tests,Keperluan Ujian,شرایط آزمون,சோதனையின் அத்தியாவசியங்கள்,Krav för testet,Требования к тесту,পরীক্ষার প্রয়োজনীয়তা,Requisitos de la prueba,ٹیسٹ کی ضروریات
953,6:159,Religious Sects Condemned,6,159,Dini Mezhepler Kınandı,Les sectes religieuses condamnées,Religiöse Sekten verurteilt,Sekte Agama Dikecam,محکومیت فرقه‌های مذهبی,மார்க்கப் பிரிவுகள் கண்டனம் செய்யப்படுகின்றன,Religiösa sekter fördömda,Религиозные секты осуждены,ধর্মীয় সম্প্রদায়গুলি নিন্দিত,Sectas religiosas condenadas,مذہبی فرقوں کی مذمت
811,6:17,Only God Controls Happiness,6,17,Mutluluğu Sadece Tanrı Kontrol Eder,Seul Dieu contrôle le bonheur,Nur Gott steuert das Glück,Hanya Tuhan yang mengawal kebahagiaan,تنها خدا شادی را کنترل می‌کند,மகிழ்ச்சியைக் கட்டுப்படுத்துகின்றவர் கடவுள் மட்டுமே,Endast Gud kontrollerar lyckan,Только Бог управляет счастьем,শুধুমাত্র ঈশ্বরই সুখ নিয়ন্ত্রণ করেন,Sólo Dios controla la felicidad,صرف خدا ہی خوشی کو کنٹرول کرتا ہے۔
813,6:19,"Quran, the Whole Quran, and Nothing But the Quran",6,19,"Kuran, Tüm Kuran, Kuran Dışında Hiçbir Şey","Le Coran, tout le Coran et rien que le Coran","Koran, der ganze Koran und nichts als der Koran","Al-Quran, keseluruhan Al-Quran, dan tiada apa selain Al-Quran",قرآن، تمام قرآن، و جز قرآن هیچ,"குர்ஆன், முழுமையான குர்ஆன், மேலும் குர்ஆனைத் தவிர எதுவுமில்லை","Koranen, hela Koranen och inget annat än Koranen","Коран, весь Коран и ничего, кроме Корана","কুরআন, সম্পূর্ণ কুরআন, এবং শুধুমাত্র কুরআন","El Corán, todo el Corán y nada más que el Corán",قرآن، پورا قرآن، اور صرف قرآن
816,6:22,Idol Worshipers Deny Their Idolatry,6,22,Puta Tapanlar Putperestliklerini İnkâr Ederler,Les adorateurs de l'idole nient leur idolâtrie,Götzenanbeter verleugnen ihre Götzendienste,Para penyembah berhala menafikan penyembahan berhala mereka.,بت‌پرستان بت‌پرستی خود را انکار می‌کنند,போலித்தெய்வ வழிபாடு செய்கின்றவர்கள் தங்களுடைய போலித்தெய்வ வழிபாட்டினை மறுக்கின்றனர்,Idoldyrkare förnekar sin avgudadyrkan,Поклоняющиеся идолам отрицают свое идолопоклонство,মূর্তি পূজারীরা তাদের মূর্তি পূজা অস্বীকার করে,Los adoradores de ídolos niegan su idolatría,بت پرست اپنی بت پرستی سے انکار کرتے ہیں
826,6:32,Rearranging Our Priorities,6,32,Önceliklerimizi Yeniden Düzenlemek,Réorganiser nos priorités,Neuordnung unserer Prioritäten,Mengatur semula keutamaan kita,بازتنظیم اولویت‌های ما,நமது முன்னுரிமைகளை திருத்தியமைத்துக் கொள்ளுதல்,Omläggning av våra prioriteringar,Изменение наших приоритетов,আমাদের অগ্রাধিকারের পুনর্বিন্যাস,Reorganizar nuestras prioridades,اپنی ترجیحات کا ازسرنو ترتیب دینا
832,6:38,Animals and Birds: Submitting Creatures*,6,38,Hayvanlar ve Kuşlar: Teslim Olan Yaratıklar,Animaux et oiseaux : Soumettre des créatures*,Tiere und Vögel: Kreaturen einreichen*,Haiwan dan Burung: Makhluk yang Menyerah*,حیوانات و پرندگان: موجودات مطیع*,விலங்குகளும் பறவைகளும்: சரணடைகின்ற படைப்பினங்கள்*,Djur och fåglar: Skicka in varelser*,Животные и птицы: Представление существ*,পশু ও পাখি: অধীনস্থ প্রাণী*,Animales y aves: Enviar criaturas*,جانور اور پرندے: فرمانبردار مخلوقات*
833,6:39,Overwhelming Miracle of the Quran,6,39,Kuran'ın Karşı Konulmaz Mucizesi,Le miracle écrasant du Coran,Das überwältigende Wunder des Koran,Mukjizat Al-Quran yang Mengagumkan,معجزهٔ عظیم قرآن,குர்ஆனுடைய மிகப்பெரும் அற்புதம்,Koranens överväldigande mirakel,Ошеломляющее чудо Корана,কুরআনের অপ্রতিরোধ্য অলৌকিকতা,El sobrecogedor milagro del Corán,قرآن کا زبردست معجزہ
838,6:44,The System*,6,44,Sistem,Le système*,Das System*,Sistem*,سیستم*,வழிமுறை*,Systemet*,Система*,সিস্টেম*,El sistema,نظام*
840,6:46,God Alone Worthy of Worship,6,46,Yalnızca Tanrı Tapılmaya Layıktır,Dieu seul digne d'être adoré,Gott allein ist der Anbetung würdig,Hanya Tuhan Saja Yang Layak Disembah,تنها خدا شایستهٔ پرستش است,கடவுள் மட்டுமே வழிபாட்டிற்குத் தகுதியுடைவர்,Gud allena värd att dyrkas,Бог один достоин поклонения,উপাসনার যোগ্য একমাত্র ঈশ্বর,Sólo Dios es digno de adoración,صرف خدا ہی عبادت کے لائق ہے
842,6:48,Role of the Messengers,6,48,Elçilerin Rolü,Rôle des messagers,Die Rolle der Boten,Peranan Para Utusan,نقش پیام‌رسانان,தூதர்களின் பங்கு,Budbärarnas roll,Роль посланников,বার্তাবাহকদের ভূমিকা,Papel de los mensajeros,پیغام رسانوں کا کردار
853,6:59,Almighty God,6,59,Yüce Tanrı,Dieu tout-puissant,Allmächtiger Gott,Tuhan Yang Maha Kuasa,خدای قادر متعال,எல்லாம் வல்லவரான கடவுள்,Allsmäktige Gud,Всемогущий Бог,সর্বশক্তিমান ঈশ্বর,Dios Todopoderoso,خدا قادرِ مطلق
